,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125
1976,-2670.0,-2370.0,-2097.5,-1852.5,-1470.0,-950.0,-515.0,-165.0,222.5,647.5,1050.0,1430.0,1765.0,2055.0,2255.0,2365.0,2467.5,2562.5,2697.5,2872.5
1977,-3612.5,-3357.5,-3100.0,-2840.0,-2415.0,-1825.0,-1335.0,-945.0,-510.0,-30.0,385.0,735.0,965.0,1075.0,1155.0,1205.0,1252.5,1297.5,1355.0,1425.0
1978,-4080.0,-3620.0,-3287.5,-3082.5,-2782.5,-2387.5,-2055.0,-1785.0,-1492.5,-1177.5,-845.0,-495.0,-160.0,160.0,475.0,785.0,1122.5,1487.5,1782.5,2007.5
1979,-4045.0,-3635.0,-3320.0,-3100.0,-2762.5,-2307.5,-1927.5,-1622.5,-1285.0,-915.0,-547.5,-182.5,182.5,547.5,900.0,1240.0,1530.0,1770.0,1950.0,2070.0
1980,-3922.5,-3607.5,-3322.5,-3067.5,-2685.0,-2175.0,-1740.0,-1380.0,-997.5,-592.5,-200.0,180.0,545.0,895.0,1120.0,1220.0,1297.5,1352.5,1430.0,1530.0
1981,-2777.5,-2792.5,-3612.5,-5237.5,-5107.5,-3222.5,-2210.0,-2070.0,-1772.5,-1317.5,-855.0,-385.0,52.5,457.5,825.0,1155.0,1387.5,1522.5,1650.0,1770.0
1982,-2310.0,-2330.0,-3002.5,-4327.5,-4172.5,-2537.5,-1632.5,-1457.5,-1152.5,-717.5,-282.5,152.5,567.5,962.5,1300.0,1580.0,1770.0,1870.0,1982.5,2107.5
1983,-2090.0,-2270.0,-3030.0,-4370.0,-4177.5,-2452.5,-1465.0,-1215.0,-837.5,-332.5,117.5,512.5,822.5,1047.5,1192.5,1257.5,1340.0,1440.0,1550.0,1670.0
1984,-2250.0,-2230.0,-2847.5,-4102.5,-3965.0,-2435.0,-1590.0,-1430.0,-1152.5,-757.5,-347.5,77.5,472.5,837.5,1187.5,1522.5,1797.5,2012.5,2210.0,2390.0
1985,-3632.5,-3337.5,-3027.5,-2702.5,-2377.5,-2052.5,-1765.0,-1515.0,-1205.0,-835.0,-497.5,-192.5,65.0,275.0,577.5,972.5,1317.5,1612.5,1945.0,2315.0
1986,-3157.5,-3292.5,-3087.5,-2542.5,-2150.0,-1910.0,-1595.0,-1205.0,-822.5,-447.5,-77.5,287.5,652.5,1017.5,1297.5,1492.5,1617.5,1672.5,1727.5,1782.5
1987,-4105.0,-4455.0,-4467.5,-4142.5,-3597.5,-2832.5,-2100.0,-1400.0,-762.5,-187.5,305.0,715.0,955.0,1025.0,1087.5,1142.5,1195.0,1245.0,1297.5,1352.5
1988,-4257.5,-4292.5,-4327.5,-4362.5,-4060.0,-3420.0,-2682.5,-1847.5,-1215.0,-785.0,-360.0,60.0,467.5,862.5,1135.0,1285.0,1390.0,1450.0,1515.0,1585.0
1989,-3440.0,-3460.0,-3422.5,-3327.5,-3040.0,-2560.0,-2015.0,-1405.0,-902.5,-507.5,-112.5,282.5,670.0,1050.0,1335.0,1525.0,1652.5,1717.5,1785.0,1855.0
1990,-4025.0,-4135.0,-3990.0,-3590.0,-3117.5,-2572.5,-2062.5,-1587.5,-1120.0,-660.0,-205.0,245.0,675.0,1085.0,1352.5,1477.5,1567.5,1622.5,1680.0,1740.0
1992,-4032.5,-4137.5,-3990.0,-3590.0,-3117.5,-2572.5,-2062.5,-1587.5,-1120.0,-660.0,-205.0,245.0,675.0,1085.0,1352.5,1477.5,1567.5,1622.5,1680.0,1740.0
1993,-3761.25,-3651.75,-3324.5,-2779.5,-2421.5,-2250.5,-2015.25,-1715.75,-1470.75,-1280.25,-1017.25,-681.75,-374.0,-94.0,186.0,466.0,712.0,924.0,1049.25,1087.75
1994,-5956.5,-5275.5,-4748.75,-4376.25,-3840.75,-3142.25,-2533.5,-2014.5,-1675.0,-1515.0,-1087.0,-391.0,208.75,712.25,1043.25,1201.75,1307.25,1359.75,1412.5,1465.5
1995,-3267.0,-3449.0,-3256.0,-2688.0,-2133.25,-1591.75,-1147.25,-799.75,-519.75,-307.25,-2.75,393.75,768.5,1121.5,1363.5,1494.5,1595.25,1665.75,1736.25,1806.75
1996,-2970.25,-3070.75,-2910.75,-2490.25,-1955.5,-1306.5,-775.25,-361.75,-27.0,229.0,553.0,945.0,1253.25,1477.75,1623.75,1691.25,1758.75,1826.25,1893.75,1961.25
1997,-4672.0,-4716.0,-4378.5,-3659.5,-2984.5,-2353.5,-1854.0,-1486.0,-1159.25,-873.75,-467.5,59.5,545.5,990.5,1244.0,1306.0,1362.0,1412.0,1462.0,1512.0
1998,-5430.0,-5810.0,-5875.0,-5625.0,-5312.5,-4937.5,-4112.5,-2837.5,-2025.0,-1675.0,-1362.5,-1087.5,-852.5,-657.5,-495.0,-365.0,-237.5,-112.5,17.5,152.5
1999,-2845.0,-3135.0,-3010.0,-2470.0,-1820.0,-1060.0,-550.0,-290.0,-87.5,57.5,152.5,197.5,235.0,265.0,285.0,295.0,315.0,345.0,370.0,390.0
2000,-2322.5,-2447.5,-2295.0,-1865.0,-1388.75,-866.25,-312.5,272.5,723.75,1041.25,1337.5,1612.5,1865.0,2095.0,2245.0,2315.0,2421.25,2563.75,2711.25,2863.75
2001,-4292.5,-4397.5,-4393.75,-4281.25,-3971.25,-3463.75,-2863.75,-2171.25,-1606.25,-1168.75,-692.5,-177.5,283.75,691.25,1007.5,1232.5,1371.25,1423.75,1495.0,1585.0
2002,-2830.0,-2310.0,-1887.5,-1562.5,-1347.5,-1242.5,-1032.5,-717.5,-450.0,-230.0,-57.5,67.5,177.5,272.5,352.5,417.5,485.0,555.0,615.0,665.0
2003,-4000.0,-3540.0,-3000.0,-2380.0,-1962.5,-1747.5,-1540.0,-1340.0,-1182.5,-1067.5,-987.5,-942.5,-895.0,-845.0,-775.0,-685.0,-645.0,-655.0,-647.5,-622.5
2004,-3160.0,-3280.0,-3046.25,-2458.75,-2051.25,-1823.75,-1570.0,-1290.0,-832.5,-197.5,257.5,532.5,710.0,790.0,872.5,957.5,1030.0,1090.0,1147.5,1202.5
2005,-3752.5,-3057.5,-2527.5,-2162.5,-1877.5,-1672.5,-1470.0,-1270.0,-1040.0,-780.0,-405.0,85.0,367.5,442.5,507.5,562.5,617.5,672.5,730.0,790.0
