,1150,1160,1170,1190,1210,1230,1250,1270,1290,1310,1330,1350,1370,1390,1410,1430,1450,1470,1490,1510,1530,1550,1570,1590,1610,1630,1650,1660,1670,1690,1710,1730,1750,1770,1790,1810,1830,1850
2005,-2330.0,,-2180.0,-2260.0,-2370.0,-2290.0,-2390.0,-2460.0,-2010.0,-1920.0,-2030.0,-1680.0,-1400.0,-1350.0,-950.0,-380.0,-250.0,-320.0,20.0,1120.0,1200.0,1080.0,1280.0,1530.0,2070.0,2540.0,2760.0,,2830.0,2760.0,3190.0,4510.0,,,,,,
2006,,,-3810.0,-3900.0,-4080.0,-4120.0,-3860.0,-3650.0,-3510.0,-3300.0,-3140.0,-3020.0,-2890.0,-2630.0,-2680.0,-2470.0,-2220.0,-2290.0,-2360.0,-1960.0,-1200.0,-1200.0,-1250.0,-1080.0,-560.0,-70.0,500.0,,1380.0,1380.0,1210.0,1590.0,,,,,,
2007,-270.0,,-400.0,-560.0,-690.0,-810.0,-1200.0,-1400.0,-700.0,-650.0,-1100.0,-720.0,-440.0,-490.0,80.0,340.0,160.0,-60.0,300.0,1200.0,1180.0,940.0,1080.0,1260.0,1680.0,2090.0,2490.0,,2660.0,2950.0,3080.0,4030.0,,,,,,
2008,-1440.0,,-1180.0,-1130.0,-1180.0,-1080.0,-1220.0,-1450.0,-960.0,-740.0,-1010.0,-950.0,-580.0,-630.0,30.0,350.0,240.0,170.0,720.0,1900.0,1790.0,1640.0,1920.0,1880.0,2120.0,2480.0,2760.0,,3070.0,3350.0,3500.0,4020.0,,,,,,
2009,-1880.0,,-1680.0,-2000.0,-2350.0,-2350.0,-2500.0,-2580.0,-2070.0,-2040.0,-2490.0,-2160.0,-1730.0,-1410.0,-970.0,-740.0,-720.0,-710.0,-130.0,680.0,520.0,500.0,650.0,740.0,1180.0,1560.0,1790.0,,1780.0,1790.0,1860.0,2250.0,,,,,,
2010,-1220.0,,-1440.0,-1780.0,-1920.0,-1850.0,-1900.0,-2040.0,-1720.0,-1610.0,-1850.0,-1720.0,-1510.0,-1390.0,-1240.0,-1120.0,-1190.0,-1210.0,-830.0,-120.0,-130.0,-160.0,0.0,130.0,470.0,760.0,1280.0,,1600.0,1720.0,2050.0,2650.0,,,,,,
2011,-3070.0,,-3270.0,-3360.0,-3220.0,-2920.0,-2720.0,-2760.0,-2530.0,-2350.0,-2470.0,-2250.0,-2080.0,-2010.0,-1680.0,-1450.0,-1390.0,-1450.0,-1100.0,-320.0,-280.0,-430.0,-270.0,100.0,470.0,930.0,1510.0,,1580.0,1730.0,1940.0,2820.0,,,,,,
2012,-1080.0,,-1340.0,-1330.0,-1360.0,-1310.0,-1580.0,-1700.0,-1280.0,-1080.0,-1030.0,-880.0,-530.0,-220.0,110.0,270.0,190.0,160.0,700.0,1460.0,1420.0,1460.0,1810.0,2040.0,2740.0,3320.0,3670.0,,3730.0,3800.0,4040.0,4970.0,5010.0,5020.0,5150.0,5160.0,5020.0,5080.0
2013,-3310.0,,-3490.0,-3460.0,-3490.0,-3300.0,-3280.0,-3310.0,-2910.0,-2880.0,-2980.0,-2730.0,-2470.0,-2220.0,-1920.0,-1690.0,-1590.0,-1410.0,-1130.0,-870.0,-770.0,-670.0,-320.0,-20.0,250.0,690.0,850.0,,940.0,1050.0,1260.0,2150.0,2290.0,2430.0,2600.0,2780.0,3170.0,3290.0
2014,-3400.0,,-3370.0,-3310.0,-3110.0,-2880.0,-3100.0,-3080.0,-2670.0,-2630.0,-2570.0,-2290.0,-1970.0,-1810.0,-1490.0,-1280.0,-1260.0,-1250.0,-310.0,80.0,-180.0,-110.0,190.0,670.0,1200.0,1560.0,1530.0,,1290.0,1290.0,1510.0,2440.0,2440.0,2420.0,2540.0,2590.0,2790.0,2800.0
2015,-420.0,,-770.0,-550.0,-610.0,-430.0,-600.0,-650.0,-180.0,-140.0,-240.0,-190.0,20.0,220.0,450.0,580.0,390.0,440.0,1100.0,1450.0,1200.0,1150.0,1280.0,1550.0,1630.0,1680.0,1680.0,,1600.0,1660.0,1770.0,2170.0,2210.0,2220.0,2290.0,2330.0,2510.0,2530.0
2016,-1750.0,,-1750.0,-1420.0,-1710.0,-2040.0,-2160.0,-2090.0,-1750.0,-1710.0,-1750.0,-1590.0,-1390.0,-1060.0,-620.0,-380.0,-510.0,-340.0,340.0,1170.0,940.0,860.0,860.0,1120.0,1240.0,1350.0,1520.0,,1580.0,1650.0,1700.0,1600.0,1610.0,1620.0,1590.0,1590.0,1720.0,1730.0
