RGI_ID,NAME,CENLON,CENLAT,WGMS_ID
RGI50-13.08624,Tsentralniy Tuyuksu Glacier,77.0799,43.0429,817
RGI50-13.11609,Golubin Glacier,74.4975,42.453,753
RGI50-13.18096,Abramov Glacier,71.5699,39.6097,732
RGI50-13.32330,Cn5Y437C0018 Qiyi Glacier,97.755,39.237,856
RGI50-13.33648,Cn5Y533B0033 Meikuang Glacier,94.184,35.669,3955
RGI50-13.45335,Cn5Y730C0029 Urumqi Source Glacier No.1 E Br,86.81,43.111,1511
RGI50-14.15536,Hamtah Glacier,77.3738,32.2348,3044
RGI50-14.15990,Chhota Shigri Glacier,77.5075,32.2242,2921
RGI50-15.02942,Changme Khangpu Glacier,88.6844,27.9599,1045
RGI50-15.06557,Tipra Bank Glacier,79.6749,30.7185,1049
RGI50-15.06777,Dunagiri Glacier,79.8941,30.5578,1047
RGI50-15.07605,Dokriani Glacier,78.8251,30.843,3454
RGI50-16.02086,Yanamarey,-77.2709,-9.6529,226
RGI50-16.01638,Lewis,37.314,-0.1568,695
RGI50-17.02128,Martial Este,-68.4093,-54.7862,2000
RGI50-17.13957,Echaurren Norte,-70.1338,-33.5804,1344
RGI50-18.01130,Brewster Glacier,169.437,-44.0715,1597
RGI50-18.03357,Ivory Glacier,170.926,-43.1326,900
RGI50-19.02057,Hurd Glacier,-60.3948,-62.6827,3367
RGI50-19.02059,Johnsons Glacier,-60.3547,-62.6707,3366
RGI50-02.05862,Tiedemann,-125.05,51.33,24
RGI50-01.05355,Alexander,-130.82,57.1,32
RGI50-02.04119,Bridge,-123.57,50.82,47
RGI50-03.04079,Ward H. I. Rise,-74.17,83.12,53
RGI50-02.05986,Bench,-124.92,51.43,66
RGI50-01.20830,Gilman,-137.07,58.82,138
RGI50-02.00644,Nisqually,-121.74,46.82,201
RGI50-02.00651,Emmons,-121.72,46.85,203
RGI50-05.00446,Amitsuloq Iska.,-50.22,66.12,232
RGI50-05.00115,Qapiarfiup Ser.,-52.13,65.6,238
RGI50-08.00928,Partejekna,17.67,67.17,327
RGI50-11.02923,Mer De Glace,6.93,45.88,353
RGI50-11.02789,Findelen,7.87,46.0,389
RGI50-11.00638,Pizol,9.4,46.97,417
RGI50-11.00073,Filleck K.,12.6,47.13,476
RGI50-11.00807,Vermuntgl.,10.13,46.85,482
RGI50-11.00797,Ochsentalergl.,10.1,46.85,483
RGI50-11.00929,Langtaler F.,11.01,46.78,510
RGI50-11.00002,Hallstaetter G.,13.62,47.48,535
RGI50-11.00190,Zettalunitz/Mullwitz K.,12.38,47.08,578
RGI50-11.01776,Lunga (Vedretta) / Langenf.,10.61,46.46,661
RGI50-12.01297,Khakel,41.84,43.23,700
RGI50-13.06974,Suek/Suyok Zapadniy,77.75,41.79,781
RGI50-13.08814,Visyachiy-1-2,77.08,43.04,806
RGI50-13.08531,Ordzhonikidze,77.12,43.03,809
RGI50-13.08783,Zoya Kosmodemyanskaya,77.1,43.02,810
