,lon,lat,n_mb_years,tstar,prcp_fac,bias
RGI50-07.00490,12.1249,78.6651,14,1917,2.5,73.17331671911995
RGI50-07.00492,12.0692,78.6774,21,1917,2.5,38.15390727283102
RGI50-07.00493,12.0311,78.8779,48,1917,2.5,3.086503979416591
RGI50-07.00496,12.1614,78.871,7,1968,2.5,-12.033150804670356
RGI50-07.00504,11.8309,78.8876,49,1917,2.5,144.61944192848443
RGI50-07.00593,16.258,78.6982,11,1917,2.5,683.0315912050637
RGI50-07.01060,13.9535,78.0409,16,1917,2.5,576.5323398534282
RGI50-07.01107,15.4657,78.1728,6,1917,2.5,495.6260511639448
RGI50-07.01132,15.6267,78.1281,12,1917,2.5,383.12128360698256
RGI50-07.01464,13.3845,78.9916,7,1999,2.5,12.44548255042639
RGI50-07.01481,13.1481,78.7872,29,1998,2.5,-12.825588059095196
RGI50-08.00013,18.4909,67.9099,32,1986,2.5,379.9912395494523
RGI50-08.00016,18.3207,68.358,11,1962,2.5,5.6020309083993425
RGI50-08.00082,5.68093,61.7482,30,1917,2.5,157.53320868594903
RGI50-08.00083,5.64784,61.7513,54,1936,2.5,-12.96497895617771
RGI50-08.00243,14.2959,66.0209,11,1985,2.5,-5.7937525182689456
RGI50-08.00411,14.4446,66.7155,11,1986,2.5,495.8589302043191
RGI50-08.00431,13.8583,66.6565,47,1963,2.5,-18.65169272407323
RGI50-08.00433,13.7593,66.5575,13,1963,2.5,-14.301448854721684
RGI50-08.00472,14.0211,66.6713,10,1976,2.5,-51.57830449061237
RGI50-08.00570,16.0547,67.2967,8,1986,2.5,299.85401985164367
RGI50-08.00666,17.9114,68.2182,10,1961,2.5,-3.779354599964961
RGI50-08.00710,17.8514,68.3407,6,1978,2.5,167.73135427096435
RGI50-08.00751,18.0544,68.0836,27,1986,2.5,442.48090995944233
RGI50-08.00760,18.6813,68.0815,26,1986,2.5,376.6742144354416
RGI50-08.00801,18.6446,67.9349,20,1986,2.5,130.78155699432946
RGI50-08.00928,17.6462,67.1735,6,1986,2.5,641.7641488786904
RGI50-08.01428,6.43195,60.0667,6,1985,2.5,-3.996870841469587
RGI50-08.01431,6.26211,59.9832,7,1951,2.5,-269.9895961654644
RGI50-08.01432,6.32268,60.036,5,1971,2.5,-9.609932886753448
RGI50-08.01433,6.39826,60.0828,18,1986,2.5,198.7643449878077
RGI50-08.01439,6.36572,60.0727,17,1986,2.5,374.8609470162804
RGI50-08.01501,7.38049,60.5392,54,1975,2.5,-22.322550870922328
RGI50-08.01520,7.48618,60.6368,5,1917,2.5,724.3099609817668
RGI50-08.01655,8.49101,61.5538,5,1917,2.5,112.69380873453679
RGI50-08.01666,8.14092,61.5748,68,1917,2.5,88.2303701458747
RGI50-08.01707,8.59889,61.6562,55,1917,2.5,-61.516663507627015
RGI50-08.01736,7.67852,61.6906,5,1918,2.5,3.429322890138252
RGI50-08.02022,21.7402,70.1308,25,1986,2.5,859.0605274850785
RGI50-08.02135,6.55113,61.4165,5,1977,2.5,6.64411078918765
RGI50-08.02182,8.43862,61.5587,55,1917,2.5,48.00854102383988
RGI50-08.02379,7.05489,61.6101,7,1979,2.5,-14.248872118271578
RGI50-08.02419,7.12832,61.7087,55,1961,2.5,-28.325985355692367
RGI50-08.02489,7.35572,61.8156,28,1917,2.5,132.18899658354087
RGI50-08.02504,6.80486,61.5116,11,1960,2.5,5.12179445432929
RGI50-08.02616,13.6359,66.4532,7,1986,2.5,407.02717080851716
RGI50-08.02637,18.5604,67.9042,71,1986,2.5,143.1906365728066
RGI50-10.01107,86.710266113,49.823951721,5,1987,2.5,5.487722740062168
RGI50-10.01121,86.703071594,49.813026428,5,1997,2.5,-10.181741765685956
RGI50-10.01708,87.780303955,50.047698975,36,1963,2.5,5.609769868787566
RGI50-10.01732,87.745521545,50.049674988,51,1962,2.5,-6.039279885695493
RGI50-10.01735,87.697410583,50.061340332,11,2001,2.5,-36.36821873748491
RGI50-10.01737,87.690246582,50.080078125,36,1962,2.5,0.3782858769313293
RGI50-10.03264,140.865356445,62.588794708,13,1955,2.5,169.72901491124068
RGI50-10.03941,158.180389404,52.46206665,5,1984,2.5,-0.9028524013302501
RGI50-10.03944,158.157409668,52.452796936,5,1989,2.5,-16.29719660748998
RGI50-10.04358,161.802352905,54.830718994,16,1956,2.5,-2.5301454286793614
RGI50-10.05085,65.780105591,67.636535645,24,1964,2.5,147.50168286054887
RGI50-10.05087,66.000305176,67.578933716,24,1973,2.5,219.53014898159776
RGI50-11.00002,13.6135,47.4845,9,1958,2.5,18.917047169002217
RGI50-11.00012,13.0581,47.4242,10,1931,2.5,-8.919241610810786
RGI50-11.00073,12.5956,47.1403,17,1958,2.5,13.846090863113432
RGI50-11.00080,12.5964,47.1316,65,1963,2.5,-41.9494673857385
RGI50-11.00106,12.6967,47.0991,29,1962,2.5,-27.498347628532656
RGI50-11.00190,12.3784,47.0851,9,1992,2.5,9.76581557853865
RGI50-11.00251,12.9472,47.053,16,1988,2.5,28.02604442801703
RGI50-11.00289,12.9702,47.0421,26,1959,2.5,10.707048646291128
RGI50-11.00300,13.0049,47.0385,33,1928,2.5,16.02468351839741
RGI50-11.00603,11.2247,46.9656,21,1926,2.5,4.762350846636082
RGI50-11.00619,11.1528,46.9566,15,1990,2.5,0.3285837601260937
RGI50-11.00638,9.38896,46.9603,9,1925,2.5,71.90902911872126
RGI50-11.00647,12.0965,46.9069,8,1988,2.5,4.244996181528677
RGI50-11.00719,10.818,46.8762,52,1945,2.5,-72.98763826891724
RGI50-11.00781,10.1603,46.8577,27,1965,2.5,-20.879001214653158
RGI50-11.00787,10.7907,46.8424,64,1987,2.5,-2.1310098557851234
RGI50-11.00797,10.1054,46.8515,9,1962,2.5,-26.30910447798783
RGI50-11.00804,10.0766,46.8524,98,1965,2.5,6.908702689248173
RGI50-11.00807,10.1309,46.8529,9,1917,2.5,42.05000006919829
RGI50-11.00843,8.89117,46.8442,101,1962,2.5,8.87929023804324
RGI50-11.00892,8.98871,46.833,42,1965,2.5,25.83130656831287
RGI50-11.00897,10.7584,46.8003,64,1963,2.5,-4.755467429512464
RGI50-11.00918,8.97739,46.8133,38,1928,2.5,37.39488412803652
RGI50-11.00929,11.0191,46.7817,8,1926,2.5,17.99047017219982
RGI50-11.01238,8.3965,46.6236,17,1962,2.5,58.435058625772626
RGI50-11.01450,8.01919,46.5028,60,1965,2.5,-2.159213660238777
RGI50-11.01662,9.36354,46.5056,6,1960,2.5,-27.6876413214344
RGI50-11.01704,10.771,46.4838,30,1962,2.5,-35.71756993596034
RGI50-11.01776,10.6115,46.4674,12,1944,2.5,27.86066434588315
RGI50-11.01834,10.7085,46.4512,50,1917,2.5,142.7401779051561
RGI50-11.01876,8.33019,46.4383,55,1966,2.5,-16.08172474284902
RGI50-11.01930,10.1119,46.4296,6,1963,2.5,-40.484150685229906
RGI50-11.01987,8.4812,46.416,24,1991,2.5,15.547886917316191
RGI50-11.02072,7.51198,46.3839,6,1925,2.5,200.25100800346763
RGI50-11.02214,10.5127,46.348,14,1928,2.5,59.92555026773891
RGI50-11.02245,9.70108,46.3085,6,1925,2.5,482.50780292920115
RGI50-11.02249,7.22536,46.3202,6,1925,2.5,529.0721346395458
RGI50-11.02285,9.64185,46.2987,6,1925,2.5,398.6259485897323
RGI50-11.02659,9.98941,46.0754,6,1992,2.5,1.8970076525488366
RGI50-11.02682,7.9245,46.0649,40,1965,2.5,-61.2801450519446
RGI50-11.02690,7.9131,46.055,60,1944,2.5,-20.308501882290273
RGI50-11.02715,7.90949,46.0336,60,1987,2.5,-76.81086526572415
RGI50-11.02762,7.92806,46.0081,60,1958,2.5,24.406331567689335
RGI50-11.02780,7.87661,46.0124,10,2001,2.5,-112.7229934853006
RGI50-11.02782,7.29108,45.9647,19,1992,2.5,-43.661612227853766
RGI50-11.02789,7.87051,45.9936,11,2000,2.5,55.12066147243411
RGI50-11.02791,7.38888,45.9921,49,1957,2.5,14.38558211865029
RGI50-11.02835,6.99817,45.9429,40,1927,2.5,-26.484343226306123
RGI50-11.02923,6.93391,45.8755,8,1965,2.5,21.84740299180794
RGI50-11.03191,7.27894,45.5592,15,1994,2.5,-2.164776771332299
RGI50-11.03254,7.38984,45.5181,24,1964,2.5,34.04157954335369
RGI50-11.03298,7.2204,45.4757,13,1992,2.5,5.7536021947855716
RGI50-11.03432,6.62793,45.298,21,1960,2.5,3.380370381258672
RGI50-11.03503,6.16016,45.1604,59,1922,2.5,66.42268702763897
RGI50-11.03515,6.13273,45.1325,68,1928,2.5,67.75673683199943
RGI50-11.03818,0.639342666,42.648979187,25,1985,2.5,41.4090670512071
RGI50-11.03841,-0.141221896,42.771190643,14,1964,2.5,3.964773760006892
RGI50-11.03967,13.56671,42.47054,21,1960,2.5,5.4013993006732335
RGI50-11.03974,10.982920789,47.415938932,6,1959,2.5,-10.463771998324233
RGI50-12.00161,42.4674,43.3121,31,1962,2.5,16.470682880795607
RGI50-12.00335,42.7749,43.2009,7,1998,2.5,2.1070404344620073
RGI50-12.00632,42.7668,43.2143,7,1978,2.5,431.98421338215974
RGI50-12.00807,42.4732,43.1296,13,1978,2.5,137.1816588517306
RGI50-12.00960,41.4156,43.3638,16,1955,2.5,411.10746677738393
RGI50-12.01132,42.7612,43.1944,49,1978,2.5,137.05878616559227
RGI50-12.01198,43.0522,43.0776,5,2000,2.5,-202.39567401706836
RGI50-12.01252,43.084,43.0332,15,1978,2.5,364.3727022386874
RGI50-12.01297,41.8439,43.2251,6,1956,2.5,-6.770522078967737
RGI50-12.01302,43.8232,42.7537,11,1940,2.5,2.123956827238942
RGI50-13.05496,80.238317299,45.095799218,13,1961,2.5,1120.0304402297857
RGI50-13.05504,80.228503062,45.082519212,24,1961,2.5,555.7349794230807
RGI50-13.06359,78.304753802,42.146142232,45,1917,2.5,413.4265703483516
RGI50-13.06828,77.681682984,41.876732163,5,1917,2.5,380.84400006251184
RGI50-13.06974,77.749273443,41.786813441,10,1917,2.5,403.05252634942065
RGI50-13.08055,78.181348805,41.826979308,7,1917,2.5,314.6472610263412
RGI50-13.08531,77.102104419,43.062361311,15,1961,2.5,237.98622200957277
RGI50-13.08533,77.07974015,43.024608168,15,1930,2.5,-42.194253524703996
RGI50-13.08534,77.107482796,43.075781419,32,1961,2.5,246.76845423179157
RGI50-13.08615,77.109750374,43.021278229,15,1961,2.5,204.82282528014247
RGI50-13.08624,77.080587306,43.043653004,60,1961,2.5,333.54190186116665
RGI50-13.08781,77.064330256,43.057823598,34,1961,2.5,402.7630666515158
RGI50-13.08782,77.09641025,43.050292445,34,1961,2.5,292.8442269701132
RGI50-13.08783,77.073632056,43.051831778,15,1961,2.5,354.11131068971565
RGI50-13.08814,77.051405111,43.071075201,15,1961,2.5,397.44839253502556
RGI50-13.11609,74.497660363,42.454479253,31,1957,2.5,233.71492543505747
RGI50-13.18096,71.569862366,39.609699249,35,1957,2.5,303.1331530004655
RGI50-13.24556,92.135,33.171,22,1917,2.5,128.30752986734527
RGI50-13.28839,90.447,30.193,5,1988,2.5,173.20542048856294
RGI50-13.32330,97.755,39.237,15,1978,2.5,110.27879149380968
RGI50-13.33648,94.184,35.669,12,1917,2.5,41.060225367234665
RGI50-13.41896,75.072,38.23,5,1999,2.5,-375.6235284380599
RGI50-13.45334,86.801,43.117,28,1917,2.5,369.03143894309414
RGI50-13.45335,86.81,43.111,25,1917,2.5,467.65656546579345
RGI50-14.07524,76.8939,35.4284,5,1981,2.5,317.1517708354205
RGI50-14.12323,78.349378203,31.292291095,13,1920,2.5,303.48629429535924
RGI50-14.12365,78.521963702,31.378255834,9,1921,2.5,421.78150945861773
RGI50-14.15536,77.373833286,32.23484894,6,1920,2.5,1446.4987544074236
RGI50-14.15990,77.507513941,32.224215542,14,1920,2.5,404.35672490839505
RGI50-14.19543,75.537165453,34.15943632,9,1981,2.5,373.12735679359423
RGI50-15.02942,88.684351605,27.959920148,7,1986,2.5,240.6218982480932
RGI50-15.03507,86.556320409,27.715784606,5,1986,2.5,529.5327308951424
RGI50-15.03591,86.897669131,27.709259601,8,1954,2.5,-43.65485567131424
RGI50-15.03875,86.790688703,27.898420495,6,1986,2.5,525.769358739863
RGI50-15.06557,79.674856689,30.718461816,7,1920,2.5,243.79455862144906
RGI50-15.06777,79.894082471,30.557780418,6,1920,2.5,1012.451704711419
RGI50-15.07605,78.825119019,30.842954636,6,1922,2.5,173.96638131128503
RGI50-15.07886,101.916,29.584,5,1989,2.5,327.6613313610103
RGI50-15.09026,81.323,30.455,5,1926,2.5,7.347081096240629
RGI50-15.11693,96.975,29.387,10,1917,2.5,679.1703586820076
RGI50-15.11962,96.902,29.303,5,1917,2.5,1552.4407466814118
RGI50-16.00532,-68.1064,-16.3023,13,1917,2.5,769.9159770257702
RGI50-16.00543,-68.1439,-16.274,24,1967,2.5,225.5406575948
RGI50-16.01339,-78.1446,-0.489511,21,1962,2.5,-8.397863258337111
RGI50-16.01355,-75.3715,4.80506,10,1917,2.5,559.5178563183827
RGI50-16.01447,-68.1287,-16.3523,17,1969,2.5,1249.7761855661001
RGI50-16.01638,37.314,-0.156806,22,1986,2.5,-4.417146963568484
RGI50-16.01756,-76.7207,-10.4787,6,1964,2.5,483.17099158520523
RGI50-16.02086,-77.2709,-9.65293,21,1917,2.5,540.3738176876169
RGI50-16.02444,-77.6279,-8.96265,11,1917,2.5,-0.3387862522212117
RGI50-17.02128,-68.4093,-54.7862,15,1941,2.5,4.25968373942095
RGI50-17.11634,-72.4562,-42.8274,8,1981,2.5,251.33634221291595
RGI50-17.13957,-70.1338,-33.5804,41,1918,2.5,125.43841022802906
RGI50-17.14445,-70.1481,-32.5933,24,1933,2.5,1.2124651293445368
RGI50-17.14923,-69.6416,-29.9831,8,1936,2.5,555.7809612383321
RGI50-17.14924,-69.6442,-29.9757,8,1936,2.5,662.8719401560413
RGI50-17.15110,-70.0204,-29.3484,12,1957,2.5,-6.4322351058957565
RGI50-17.15113,-70.0247,-29.3346,6,1918,2.5,260.27771671245046
RGI50-17.15114,-70.0275,-29.3323,6,1918,2.5,263.2300222443406
RGI50-17.15116,-70.0369,-29.3295,6,1918,2.5,294.5733969257275
RGI50-17.15131,-69.9909,-29.3005,8,1936,2.5,162.97356210602584
RGI50-18.01130,169.437,-44.0715,11,1975,2.5,12.659929409150664
RGI50-18.03357,170.926,-43.1326,6,1917,2.5,1332.7178413978231
