CenLon,CenLat,POLITICAL_UNIT,NAME,WGMS_ID,PSFG_ID,WGI_ID,GLIMS_ID,RGI40_ID,RGI50_ID,RGI60_ID,RGI_REG,RGI_REG_NAME,GlacierType,TerminusType,IsTidewater,N_MB_YRS,HAS_PROFILE,REMARKS
9.82369,46.4083,CH,MURTEL VADRET DAL,4339,,CHJ143200000,,,RGI50-11.02024,RGI60-11.02024,11,11: Central Europe,Glacier,Land-terminating,False,6,True,RGI link automated.
9.38896,46.9603,CH,PIZOL,417,CH0081,CHR0135000D1,,,RGI50-11.00638,RGI60-11.00638,11,11: Central Europe,Glacier,Land-terminating,False,12,True,RGI link checked manually.
7.51198,46.3839,CH,PLAINE MORTE,4246,,CHR01355F003,,,RGI50-11.02072,RGI60-11.02072,11,11: Central Europe,Glacier,Land-terminating,False,9,True,RGI link checked manually.
8.98871,46.833,CH,PLATTALVA,420,CH0114,CHR013500I 7,,,RGI50-11.00892,RGI60-11.00892,11,11: Central Europe,Glacier,Land-terminating,False,42,True,RGI link checked manually.
8.3965,46.6236,CH,RHONE,473,CH0001,CHN012403003,,,RGI50-11.01238,RGI60-11.01238,11,11: Central Europe,Glacier,Land-terminating,False,37,True,RGI link checked manually.
8.60104,46.5988,CH,SANKT ANNA,432,CH0067,CHR013501E12,,,RGI50-11.01367,RGI60-11.01367,11,11: Central Europe,Glacier,Land-terminating,False,7,True,RGI link automated.
8.61109,46.5967,CH,SCHWARZBACH,4340,,CHR013501000,,,RGI50-11.01376,RGI60-11.01376,11,11: Central Europe,Glacier,Land-terminating,False,6,True,RGI link automated.
7.92806,46.0081,CH,SCHWARZBERG,395,CH0010,CHN012502024,,,RGI50-11.02762,RGI60-11.02746,11,11: Central Europe,Glacier,Land-terminating,False,63,True,RGI link checked manually.
10.0766,46.8524,CH,SILVRETTA,408,CH0090,CHR013100G 5,,,RGI50-11.00804,RGI60-11.00804,11,11: Central Europe,Glacier,Land-terminating,False,100,True,RGI link checked manually.
7.22536,46.3202,CH,TSANFLEURON,371,CH0033,CHN012202001,,,RGI50-11.02249,RGI60-11.02249,11,11: Central Europe,Glacier,Land-terminating,False,9,True,RGI link checked manually.
-70.0018,-29.3041,CL,AMARILLO,3905,,,G289998E29304S,,,RGI60-17.14887,17,17: Southern Andes,Glacier,Land-terminating,False,12,True,RGI link checked manually.
-70.1338,-33.5804,CL,ECHAURREN NORTE,1344,CL0001B,CL1M0057D015,G289866E33580S,,,RGI60-17.13715,17,17: Southern Andes,Glacier,Land-terminating,False,42,False,RGI link checked manually.
-70.0369,-29.3295,CL,ESPERANZA,3982,,,,,RGI50-17.15116,RGI60-17.14874,17,17: Southern Andes,Glacier,Land-terminating,False,6,False,RGI link checked manually.
-70.0204,-29.3484,CL,GUANACO,3983,,CL1M03812071,G289980E29348S,,,RGI60-17.14868,17,17: Southern Andes,Glacier,Land-terminating,False,12,False,RGI link checked manually.
-70.0247,-29.3346,CL,TORO 1,3980,,,,,RGI50-17.15113,RGI60-17.14871,17,17: Southern Andes,Glacier,Land-terminating,False,6,False,RGI link checked manually.
-70.0275,-29.3323,CL,TORO 2,3981,,,,,RGI50-17.15114,RGI60-17.14872,17,17: Southern Andes,Glacier,Land-terminating,False,6,False,RGI link checked manually.
90.447,30.193,CN,GURENHEKOU,3978,,,,,RGI50-13.28839,RGI60-13.28839,13,"13: Asia, Central",Glacier,Land-terminating,False,5,False,RGI link checked manually.
101.916,29.584,CN,HAILUOGOU,849,CN0031,CN5K6120F003,,,RGI50-15.07886,RGI60-15.07886,15,"15: Asia, South East",Glacier,Land-terminating,False,5,False,RGI link checked manually.
94.184,35.669,CN,MEIKUANG,3955,,,,,RGI50-13.33648,RGI60-13.33648,13,"13: Asia, Central",Ice cap,Land-terminating,False,12,False,RGI link checked manually.
75.072,38.23,CN,MUZTAG ATA (GLACIER NO. 15),3992,,,G075058E38248N,,RGI50-13.41896,RGI60-13.41896,13,"13: Asia, Central",Ice cap,Land-terminating,False,5,False,RGI link checked manually.
81.323,30.455,CN,NAIMONA NYI,3991,,CN5O173B0003,G081323E30455N,,RGI50-15.09026,RGI60-15.09026,15,"15: Asia, South East",Glacier,Land-terminating,False,5,False,RGI link checked manually.
96.975,29.387,CN,PARLUNG NO. 94,3987,CN0094,CN5O282A1094,G096975E29387N,,RGI50-15.11693,RGI60-15.11693,15,"15: Asia, South East",Glacier,Land-terminating,False,12,True,RGI link checked manually.
96.902,29.303,CN,PARLUNG ZANGBO: NO. 12,3986,CN0012,CN5O2820B000,,,RGI50-15.11962,RGI60-15.11962,15,"15: Asia, South East",Glacier,Land-terminating,False,5,False,RGI link checked manually.
97.755,39.237,CN,QIYI,856,CN0003,CN Y0437C018,,,RGI50-13.32330,RGI60-13.32330,13,"13: Asia, Central",Glacier,Land-terminating,False,15,False,RGI link checked manually.
86.81,43.111,CN,URUMQI GLACIER NO. 1 E-BRANCH,1511,CN0001,,G086810E43111N,,RGI50-13.45335,RGI60-13.45335,13,"13: Asia, Central",Glacier,Land-terminating,False,31,True,RGI link checked manually.
86.801,43.117,CN,URUMQI GLACIER NO. 1 W-BRANCH,1512,CN0002,,G086801E43117N,,RGI50-13.45334,RGI60-13.45334,13,"13: Asia, Central",Glacier,Land-terminating,False,31,True,RGI link checked manually.
92.135,33.171,CN,XIAO DONGKZMADI,1510,CN0038,,,,RGI50-13.24556,RGI60-13.24556,13,"13: Asia, Central",Glacier,Land-terminating,False,22,False,RGI link checked manually.
-75.3715,4.80506,CO,CONEJERAS,2721,CO0033,,,,RGI50-16.01355,RGI60-16.01355,16,16: Low Latitudes,Glacier,Land-terminating,False,13,True,RGI link checked manually.
10.982920789,47.415938932,DE,SCHNEEFERNER N,346,DE0001,DE4J14400001,,,RGI50-11.03974,RGI60-11.03246,11,11: Central Europe,Glacier,Land-terminating,False,6,True,RGI link checked manually.
-78.1446,-0.489511,EC,ANTIZANA15ALPHA,1624,EC1DA15,EC1D30370015,,,RGI50-16.01339,RGI60-16.01339,16,16: Low Latitudes,Glacier,Land-terminating,False,24,True,RGI link checked manually.
0.639342666,42.648979187,ES,MALADETA,942,ES9020,ES4O00122008,,,RGI50-11.03818,RGI60-11.03209,11,11: Central Europe,Glacier,Land-terminating,False,27,True,RGI link checked manually.
6.985,45.951,FR,ARGENTIERE,354,FR0002,FRN010305A08,,,RGI50-11.02835,RGI60-11.03638,11,11: Central Europe,Glacier,Land-terminating,False,42,False,RGI link checked manually.
6.629,45.295,FR,GEBROULAZ,352,FR0009,FRN010406E06,,,RGI50-11.03432,RGI60-11.03671,11,11: Central Europe,Glacier,Land-terminating,False,23,False,RGI link checked manually.
6.934,45.883,FR,MER DE GLACE,353,FR0003,FRN010306A01,,,RGI50-11.02923,RGI60-11.03643,11,11: Central Europe,Glacier,Land-terminating,False,8,False,RGI link checked manually.
-0.141221896,42.771190643,FR,OSSOUE,2867,,,,,RGI50-11.03841,RGI60-11.03232,11,11: Central Europe,Glacier,Land-terminating,False,16,False,RGI link checked manually.
6.159,45.16,FR,SAINT SORLIN,356,FR0015,FRN010602B09,,,RGI50-11.03503,RGI60-11.03674,11,11: Central Europe,Glacier,Land-terminating,False,61,False,RGI link checked manually.
6.130521774,45.116443634,FR,SARENNES,357,FR0029,FRN010603A02,G006129E45117N,,,RGI60-11.03756,11,11: Central Europe,Glacier,Land-terminating,False,71,False,RGI link checked manually.
-50.3208,66.1325,GL,AMITSULOQ ICE CAP,232,GL0004,GL2U1DG16166,,,RGI50-05.00446,RGI60-05.00446,05,05: Greenland Periphery,Glacier,Land-terminating,False,9,False,RGI link checked manually.
-20.8288,74.3778,GL,FREYA,3350,,,,,RGI50-05.20030,RGI60-05.20030,05,05: Greenland Periphery,Glacier,Land-terminating,False,10,True,RGI link checked manually.
-37.8032,65.6957,GL,MITTIVAKKAT,1629,GL0019,GL02U3I00000,G322197E65696N,,,RGI60-05.11186,05,05: Greenland Periphery,Glacier,Land-terminating,False,22,True,RGI link checked manually.
-52.1262,65.6,GL,QAPIARFIUP SER.,238,GL0009,GL2U1DB10003,,,RGI50-05.00115,RGI60-05.00115,05,05: Greenland Periphery,Glacier,Land-terminating,False,5,False,RGI link checked manually.
-51.3598,64.162,GL,QASIGIANNGUIT,4566,GL0003,,,,RGI50-05.07217,RGI60-05.07217,05,05: Greenland Periphery,Glacier,Land-terminating,False,6,True,RGI link automated.
-45.3055,61.4421,GL,VALHALTINDE,240,GL0001,GL2U1AG05008,,,RGI50-05.05149,RGI60-05.05149,05,05: Greenland Periphery,Glacier,Land-terminating,False,5,False,RGI link checked manually.
88.684351605,27.959920148,IN,CHANGMEKHANGPU,1045,IN2522,IN05P2500022,G088684E27960N,,RGI50-15.02942,RGI60-15.02942,15,"15: Asia, South East",Glacier,Land-terminating,False,7,False,RGI link checked manually.
77.507513941,32.224215542,IN,CHHOTA SHIGRI,2921,,,G077508E32224N,,RGI50-14.15990,RGI60-14.15990,14,"14: Asia, South West",Glacier,Land-terminating,False,14,True,RGI link checked manually.
78.825119019,30.842954636,IN,DOKRIANI,3454,,,G078825E30843N,,RGI50-15.07605,RGI60-15.07605,15,"15: Asia, South East",Glacier,Land-terminating,False,6,False,RGI link checked manually.
79.894082471,30.557780418,IN,DUNAGIRI,1047,IN0191,IN5O12202191,G079894E30558N,,RGI50-15.06777,RGI60-15.06777,15,"15: Asia, South East",Glacier,Land-terminating,False,6,False,RGI link checked manually.
78.521963702,31.378255834,IN,GOR GARANG,3929,,,,,RGI50-14.12365,RGI60-14.12365,14,"14: Asia, South West",Glacier,Land-terminating,False,9,False,RGI link checked manually.
77.314103195,32.305413485,IN,HAMTAH,3044,,IN5Q21212180,G077374E32235N,,RGI50-14.15536,RGI60-14.15556,14,"14: Asia, South West",Glacier,Land-terminating,False,11,False,RGI link checked manually.
75.537165453,34.15943632,IN,NEH NAR,3930,,,,,RGI50-14.19543,RGI60-14.19543,14,"14: Asia, South West",Glacier,Land-terminating,False,9,False,RGI link checked manually.
78.349378203,31.292291095,IN,SHAUNE GARANG,1048,IN0084,IN5Q220 1984,G078349E31292N,,RGI50-14.12323,RGI60-14.12323,14,"14: Asia, South West",Glacier,Land-terminating,False,13,False,RGI link checked manually.
79.675,30.718,IN,TIPRA BANK,1049,IN0004,IN5O12200004,G079675E30718N,,RGI50-15.06557,RGI60-15.06557,15,"15: Asia, South East",Glacier,Land-terminating,False,7,False,RGI link checked manually.
-16.4767,64.2666,IS,BREIDAMJOKULL E. B.,3062,IS1126B,ISV   10126B,,,RGI50-06.00483,RGI60-06.00483,06,06: Iceland,Ice cap,Land-terminating,False,7,False,RGI link checked manually.
-16.2675,64.5867,IS,BRUARJOKULL,3067,IS2400,IS0000V02400,G343222E64409N,,RGI50-06.00377,RGI60-06.00377,06,06: Iceland,Ice cap,Land-terminating,False,26,False,"RGI link checked manually. GLIMS ID from Foresta, L., et al. (2016),  Geophys. Res. Lett., 43, doi:10.1002/2016GL071485."
-17.0539,64.6745,IS,DYNGJUJOKULL,3068,IS2600,,,,RGI50-06.00477,RGI60-06.00477,06,06: Iceland,Ice cap,Land-terminating,False,21,False,RGI link checked manually.
-15.6083,64.6284,IS,EYJABAKKAJOKULL,3069,IS2300,IS0000V02300,,,RGI50-06.00472,RGI60-06.00472,06,06: Iceland,Glacier,Land-terminating,False,27,False,RGI link checked manually.
-18.6422,64.7989,IS,HOFSJOKULL E,3088,IS0510B,IS0000V00510,,,RGI50-06.00234,RGI60-06.00234,06,06: Iceland,Ice cap,Land-terminating,False,29,False,RGI link checked manually.
-18.9072,64.9014,IS,HOFSJOKULL N,3089,IS0510A,IS0000V00510,,,RGI50-06.00238,RGI60-06.00238,06,06: Iceland,Ice cap,Land-terminating,False,30,False,RGI link checked manually.
-19.0241,64.757,IS,HOFSJOKULL SW,3090,IS0510C,IS0000V00510,G340976E64757N,,,RGI60-06.00236,06,06: Iceland,Ice cap,Land-terminating,False,28,False,RGI link checked manually.
-17.7174,64.5628,IS,KOLDUKVISLARJ.,3096,IS2700,,,,RGI50-06.00424,RGI60-06.00424,06,06: Iceland,Ice cap,Land-terminating,False,25,False,RGI link checked manually.
-20.0311,64.6423,IS,LANGJOKULL ICE CAP,3660,,,G339764E64629N,,RGI50-06.00310,RGI60-06.00310,06,06: Iceland,Ice cap,Land-terminating,False,22,False,"RGI link checked manually. GLIMS ID from Foresta, L., et al. (2016),  Geophys. Res. Lett., 43, doi:10.1002/2016GL071485."
-14.9002,64.7077,IS,THRANDARJOKULL,3125,IS1940,,G345100E64708N,,,RGI60-06.00513,06,06: Iceland,Ice cap,Land-terminating,False,6,False,RGI link automated.
-17.927,64.3475,IS,TUNGNAARJOKULL,3126,IS2214,IS0000V02214,,,RGI50-06.00443,RGI60-06.00443,06,06: Iceland,Ice cap,Land-terminating,False,27,False,RGI link checked manually.
13.56671,42.47054,IT,CALDERONE,1107,IT1006,,,,RGI50-11.03967,RGI60-11.03241,11,11: Central Europe,Glacier,Land-terminating,False,23,True,RGI link checked manually.
10.1119,46.4296,IT,CAMPO SETT.,1106,IT0997,IT4J14311006,,,RGI50-11.01930,RGI60-11.01930,11,11: Central Europe,Glacier,Land-terminating,False,9,False,RGI link checked manually.
10.7085,46.4512,IT,CARESER,635,IT0701,IT4L00102519,,,RGI50-11.01834,RGI60-11.01834,11,11: Central Europe,Glacier,Land-terminating,False,52,True,RGI link checked manually.
7.38984,45.5181,IT,CIARDONEY,1264,IT0081,IT4L01052003,,,RGI50-11.03254,RGI60-11.03135,11,11: Central Europe,Glacier,Land-terminating,False,26,True,RGI link checked manually.
10.771,46.4838,IT,FONTANA BIANCA / WEISSBRUNNF.,1507,IT0713,IT4L00110103,,,RGI50-11.01704,RGI60-11.01704,11,11: Central Europe,Glacier,Land-terminating,False,33,True,RGI link checked manually.
7.2204,45.4757,IT,GRAND ETRET,1238,IT0134,IT4L01313012,,,RGI50-11.03298,RGI60-11.03166,11,11: Central Europe,Glacier,Land-terminating,False,13,True,RGI link checked manually.
10.6286,46.4337,IT,LA MARE (VEDRETTA DE),636,IT0699,IT4L00102517,,,RGI50-11.01863,RGI60-11.01863,11,11: Central Europe,Glacier,Land-terminating,False,15,True,RGI link automated.
10.6115,46.4674,IT,LUNGA (VEDRETTA) / LANGENF.,661,IT0733,IT4L00112128,,,RGI50-11.01776,RGI60-11.01776,11,11: Central Europe,Glacier,Land-terminating,False,14,True,RGI link checked manually.
9.98941,46.0754,IT,LUPO,1138,IT0543,IT4L01132016,,,RGI50-11.02659,RGI60-11.02648,11,11: Central Europe,Glacier,Land-terminating,False,9,False,RGI link checked manually.
11.1528,46.9566,IT,MALAVALLE (VEDR. DI) / UEBELTALF.,672,IT0875,IT4L00121108,,,RGI50-11.00619,RGI60-11.00619,11,11: Central Europe,Glacier,Land-terminating,False,16,True,RGI link checked manually.
11.2247,46.9656,IT,PENDENTE (VEDR.) / HANGENDERF.,675,IT0876,IT4L00121110,,,RGI50-11.00603,RGI60-11.00603,11,11: Central Europe,Glacier,Land-terminating,False,22,True,RGI link checked manually.
12.0965,46.9069,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,645,IT0930,IT4L00123312,,,RGI50-11.00647,RGI60-11.00647,11,11: Central Europe,Glacier,Land-terminating,False,10,True,RGI link checked manually.
10.5127,46.348,IT,SFORZELLINA,667,IT0516,IT4L01137036,,,RGI50-11.02214,RGI60-11.02214,11,11: Central Europe,Glacier,Land-terminating,False,14,False,RGI link checked manually.
9.36354,46.5056,IT,SURETTA MERID.,2488,IT0371,IT4L01113007,,,RGI50-11.01662,RGI60-11.01662,11,11: Central Europe,Glacier,Land-terminating,False,9,False,RGI link checked manually.
7.27894,45.5592,IT,TIMORION,1282,IT0126,IT4L01313003,,,RGI50-11.03191,RGI60-11.03084,11,11: Central Europe,Glacier,Land-terminating,False,15,False,RGI link checked manually.
37.314,-0.156806,KE,LEWIS,695,KE0008,KEE021D00001,G037314E00157S,,,RGI60-16.01638,16,16: Low Latitudes,Glacier,Land-terminating,False,22,True,RGI link checked manually.
71.569862366,39.609699249,KG,ABRAMOV,732,KG4101,KGXA31000040,G071570E39610N,,,RGI60-13.18096,13,"13: Asia, Central",Glacier,Land-terminating,False,38,True,RGI link checked manually.
77.749273443,41.786813441,KG,BATYSH SOOK/SYEK ZAPADNIY,781,KG5082,KG05XXX00082,,,RGI50-13.06974,RGI60-13.06974,13,"13: Asia, Central",Glacier,Land-terminating,False,13,True,RGI link checked manually.
78.163760075,41.793219402,KG,GLACIER NO. 354 (AKSHIYRAK),3889,,SU5X14105354,G078166E41792N,,,RGI60-13.07064,13,"13: Asia, Central",Glacier,Land-terminating,False,8,True,RGI link automated.
74.497660363,42.454479253,KG,GOLUBIN,753,KG5060,KG0X0C100250,G074498E42454N,,,RGI60-13.11609,13,"13: Asia, Central",Glacier,Land-terminating,False,34,True,RGI link checked manually.
78.272803308,42.140309987,KG,KARA-BATKAK,813,KG5080,KG0X00C00265,G078273E42140N,,,RGI60-13.06361,13,"13: Asia, Central",Glacier,Land-terminating,False,48,True,RGI link checked manually.
77.681682984,41.876732163,KG,NO.131,782,KG5081,KG05XXX00081,,,RGI50-13.06828,RGI60-13.06828,13,"13: Asia, Central",Glacier,Land-terminating,False,5,True,RGI link checked manually.
78.181348805,41.826979308,KG,SARY TOR (NO.356),805,KG5106,KG0 XXX00019,G078181E41827N,,,RGI60-13.08055,13,"13: Asia, Central",Glacier,Land-terminating,False,10,True,RGI link checked manually.
77.09641025,43.050292445,KZ,IGLI TUYUKSU,816,KZ5076,KZ0XB2200108,,,RGI50-13.08782,RGI60-13.08782,13,"13: Asia, Central",Glacier,Land-terminating,False,34,False,RGI link checked manually.
77.107482796,43.075781419,KZ,MANSHUK MAMETOVA,811,KZ5091,KZ0XB2200112,,,RGI50-13.08534,RGI60-13.08534,13,"13: Asia, Central",Glacier,Land-terminating,False,32,False,RGI link checked manually.
77.109750374,43.021278229,KZ,MAYAKOVSKIY,808,KZ5094,KZ0XB2200111,,,RGI50-13.08615,RGI60-13.08615,13,"13: Asia, Central",Glacier,Land-terminating,False,15,False,RGI link checked manually.
