,lon,lat,n_mb_years,tstar,bias
RGI60-02.18077,-121.0938,48.57262,23,1961,-16.32056166923826
RGI60-02.18415,-121.34847,47.96242,33,1968,-6.121352288896787
RGI60-02.18487,-121.17219,47.56637,33,1921,0.23611119550531612
RGI60-02.18774,-121.76816,48.81383,27,1917,-4.011624521728777
RGI60-02.18778,-121.05735,48.35698,60,1961,298.5961720948869
RGI60-02.18792,-121.68056,45.38097,15,2000,8.21815271432763
RGI60-03.00691,-99.1904,79.982,56,1982,109.07534196941879
RGI60-03.00840,-90.966,79.442,34,1924,-2.490239275884278
RGI60-03.01427,-79.1438,75.8872,6,1968,359.27642320349094
RGI60-03.01623,-64.1739,81.9561,7,1918,482.3961787613108
RGI60-03.04079,-74.2248,83.1066,23,1966,47.21856526454678
RGI60-03.04539,-90.87697,79.5146,53,1982,48.10949236742263
RGI60-03.04552,-114.965,75.4291,53,1917,201.28320372316358
RGI60-04.03082,-69.8037,69.6303,5,1994,0.43115341272709884
RGI60-04.06187,-73.0575,70.0214,10,1991,242.9398083592827
RGI60-05.00115,-52.1262,65.6,5,1967,14.557834875373487
RGI60-05.00446,-50.3208,66.1325,9,2000,-0.8610834245235139
RGI60-05.05149,-45.3055,61.4421,5,1933,51.03522579432001
RGI60-05.11186,-37.8032,65.6957,21,1980,1.5598028752627897
RGI60-05.20030,-20.8288,74.3778,8,1969,71.05920952593442
RGI60-06.00234,-18.6422,64.7989,28,1978,259.31252344337156
RGI60-06.00236,-19.0241,64.757,26,1978,494.1925791931586
RGI60-06.00238,-18.9072,64.9014,28,1978,288.50649026784527
RGI60-06.00310,-20.0311,64.6423,19,1978,922.0053049835137
RGI60-06.00377,-16.2675,64.5867,23,1971,3.296109347150491
RGI60-06.00424,-17.7174,64.5628,22,1978,85.19776205142273
RGI60-06.00443,-17.927,64.3475,24,1982,922.9316298267802
RGI60-06.00472,-15.6083,64.6284,24,1984,344.66199985315086
RGI60-06.00477,-17.0539,64.6745,18,1960,2.428502729719895
RGI60-06.00483,-16.4767,64.2666,7,1978,440.39578867247656
RGI60-07.00231,15.2378,77.461,18,1917,371.33771046429297
RGI60-07.00382,18.8089,78.086,6,1917,292.1838222917732
RGI60-07.00490,12.1249,78.6651,14,1917,81.34206955009267
RGI60-07.00492,12.0692,78.6774,21,1917,54.110200360308795
RGI60-07.00493,12.0311,78.8779,48,1917,9.861888616840758
RGI60-07.00496,12.1614,78.871,7,1937,2.432009422343924
RGI60-07.00504,11.8309,78.8876,49,1917,145.98897236934556
RGI60-07.00593,16.258,78.6982,11,1917,664.8410939726061
RGI60-07.01060,13.9535,78.0409,16,1917,545.7245868653473
RGI60-07.01107,15.4657,78.1728,6,1917,487.5421972341517
RGI60-07.01132,15.6267,78.1281,12,1917,364.80339315970133
RGI60-07.01464,13.3845,78.9916,7,1998,-14.852950179655977
RGI60-07.01481,13.1481,78.7872,29,1998,0.6598597606076169
RGI60-08.00006,18.055,68.083,27,1979,425.84634916319885
RGI60-08.00146,17.655,67.172,6,1979,567.6041401736173
RGI60-08.00188,18.496,67.91,32,1917,377.53077436193166
RGI60-08.00199,18.686,68.081,26,1917,338.79656636606364
RGI60-08.00210,18.648,67.934,20,1917,105.85508378765317
RGI60-08.00213,18.569,67.903,71,1917,152.40484447194032
RGI60-08.00259,18.325,68.36,11,1960,0.48332488739049495
RGI60-08.00287,13.994,66.685,10,1991,-0.027044000394084833
RGI60-08.00295,13.633,66.454,7,1986,410.79162505094945
RGI60-08.00312,8.132,61.573,68,1917,107.450689142837
RGI60-08.00424,17.936,68.289,7,1977,1.3532845244566545
RGI60-08.00449,8.441,61.556,55,1917,86.38140998639261
RGI60-08.00963,8.575,61.554,6,1917,85.7053024558164
RGI60-08.00987,8.6,61.657,55,1917,-34.285495899559635
RGI60-08.01013,8.491,61.553,5,1917,129.2349665806205
RGI60-08.01099,6.801,61.531,11,1953,-0.4798911310720655
RGI60-08.01126,7.099,61.715,55,1957,10.744698575287245
RGI60-08.01217,7.668,61.681,5,1917,65.37259754225434
RGI60-08.01258,21.737,70.13,25,1986,847.1789738873209
RGI60-08.01286,7.335,61.826,28,1985,149.31097864916194
RGI60-08.01484,14.437,66.716,11,1986,494.6280945850966
