RGI glaciers with mass-balance measurements in the WGMS Fluctuations of Glaciers database,
Valentina Radic and Rachel Lo, 2015; Fabien Maussion and Johannes Landmann, 2016
RGIId,GLIMSId,Name,Area,CenLon,CenLat,FoGId,PolUnit
RGI60-08.00005,G016345E67139N,Salajekna                                       ,       21.4694,       16.3450,       67.1390, 0341,  
RGI60-08.00006,G018055E68083N,Riukojietna                                     ,        4.8862,       18.0550,       68.0830, 0342,SE
RGI60-08.00121,G017693E67415N,Mikkajekna                                      ,        6.7305,       17.6930,       67.4150, 0338,SE
RGI60-08.00146,G017655E67172N,Paartejekna                                     ,       10.2229,       17.6550,       67.1720, 0327,SE
RGI60-08.00188,G018496E67910N,Rabots Glaciaer                                 ,        3.6959,       18.4960,       67.9100, 0334,SE
RGI60-08.00199,G018686E68081N,Marmaglaciaeren                                 ,        3.6886,       18.6860,       68.0810, 1461,SE
RGI60-08.00210,G018648E67934N,Tarfalaglaciaeren                               ,        1.2834,       18.6480,       67.9340, 0326,SE
RGI60-08.00213,G018569E67903N,Storglaciaeren                                  ,        3.4055,       18.5690,       67.9030, 0332,SE
RGI60-08.00227,G018534E67896N,Bjorlings Glaciaer                              ,        1.5452,       18.5340,       67.8960, 3963,SE
RGI60-08.00249,G018603E67938N,SE Kaskasatjakkaglaciaeren                      ,        0.5589,       18.6030,       67.9380, 0329,SE
RGI60-08.00259,G018325E68360N,Karsojietna                                     ,        1.1892,       18.3250,       68.3600, 0330,SE
RGI60-08.00287,G013994E66685N,Storglombreen N                                 ,       41.2352,       13.9940,       66.6850, 0297,NO
RGI60-08.00295,G013633E66454N,Hoegtuvbreen                                    ,        2.5732,       13.6330,       66.4540, 0286,NO
RGI60-08.00312,G008132E61573N,Storbreen                                       ,        5.2103,        8.1320,       61.5730, 0302,NO
RGI60-08.00424,G017936E68289N,Tunsbergdalsbreen                               ,        1.5903,       17.9360,       68.2890, 1316,NO
RGI60-08.00434,G006998E61646N,Tunsbergdalsbreen                               ,       47.4723,        6.9980,       61.6460, 1316,NO
RGI60-08.00449,G008441E61556N,Hellstugubreen                                  ,        2.7994,        8.4410,       61.5560, 0300,NO
RGI60-08.00502,G006901E61771N,Vesledalsbreen                                  ,        2.0533,        6.9010,       61.7710, 1331,NO
RGI60-08.00868,G008351E61677N,Juvfonne                                        ,        0.1495,        8.3510,       61.6770, 3661,NO
RGI60-08.00963,G008575E61554N,Blaabreen                                       ,        3.4835,        8.5750,       61.5540, 3803,NO
RGI60-08.00966,G008454E61542N,Vestre Memurubreen                              ,        8.5630,        8.4540,       61.5420, 1318,NO
RGI60-08.00987,G008600E61657N,Graasubreen                                     ,        2.1655,        8.6000,       61.6570, 0299,NO
RGI60-08.01013,G008491E61553N,Austre Memurubreen                              ,        5.8904,        8.4910,       61.5530, 1317,NO
RGI60-08.01026,G017996E68104N,Cainhavarre                                     ,        0.8037,       17.9960,       68.1040, 1330,NO
RGI60-08.01099,G006801E61531N,Store Supphellebreen                            ,       12.8225,        6.8010,       61.5310, 0287,NO
RGI60-08.01126,G007099E61715N,Nigardsbreen                                    ,       41.8721,        7.0990,       61.7150, 0290,NO
RGI60-08.01217,G007668E61681N,Harbardsbreen                                   ,       11.3144,        7.6680,       61.6810, 2320,NO
RGI60-08.01258,G021737E70130N,Langfjordjoekulen                               ,        3.4546,       21.7370,       70.1300, 0323,NO
RGI60-08.01286,G007335E61826N,Austdalsbreen                                   ,       10.3462,        7.3350,       61.8260, 0321,NO
RGI60-08.01484,G014437E66716N,Trollbergdalsbreen                              ,        1.7091,       14.4370,       66.7160, 0316,NO
RGI60-08.01512,G014544E66793N,Glombreen                                       ,        0.1783,       14.5440,       66.7930, 3804,NO
RGI60-08.01598,G013761E66557N,Svartisheibreen                                 ,        5.6212,       13.7610,       66.5570, 0320,NO
RGI60-08.01623,G014085E66660N,Kjoelbreen                                      ,        3.7983,       14.0850,       66.6600, 3806,NO
RGI60-08.01641,G014008E66654N,Storglombreen S                                 ,       15.9143,       14.0080,       66.6540, 0297,NO
RGI60-08.01650,G014028E66722N,Tretten-Null-Tobreen                            ,        5.8933,       14.0280,       66.7220, 0312,NO
RGI60-08.01657,G013853E66657N,Engabreen                                       ,       36.0486,       13.8530,       66.6570, 0298,NO
RGI60-08.01764,G007486E60639N,Omnsbreen E                                     ,        0.2909,        7.4860,       60.6390, 3805,NO
RGI60-08.01779,G007405E60537N,Rembesdalskaaka                                 ,       17.3830,        7.4050,       60.5370, 2296,NO
RGI60-08.01780,G007433E60558N,Midtdalsbreen                                   ,        6.7723,        7.4330,       60.5580, 2295,NO
RGI60-08.02218,G014357E66013N,Charles Rabot Breen                             ,        1.0617,       14.3570,       66.0130, 3488,NO
RGI60-08.02384,G016043E67291N,Rundvassbreen                                   ,       11.1232,       16.0430,       67.2910, 2670,NO
RGI60-08.02436,G017852E68340N,Blaaisen                                        ,        1.7980,       17.8520,       68.3400, 1328,NO
RGI60-08.02458,G017917E68217N,Storsteinsfjellbreen                            ,        6.0111,       17.9170,       68.2170, 1329,NO
RGI60-08.02493,G021942E70236N,Svartfjelljoekelen                              ,        2.7842,       21.9420,       70.2360, 3807,NO
RGI60-08.02650,G005672E61746N,Hansebreen                                      ,        2.9082,        5.6720,       61.7460, 0322,NO
RGI60-08.02666,G005644E61747N,Aalfotbreen                                     ,        3.9719,        5.6440,       61.7470, 0317,NO
RGI60-08.02916,G006322E60028N,Bondhusbrea                                     ,       10.8587,        6.3220,       60.0280, 0318,NO
RGI60-08.02918,G006320E59995N,Svelgjabreen                                    ,       22.5970,        6.3200,       59.9950, 3343,NO
RGI60-08.02962,G006380E60067N,Breidablikkbrea                                 ,        3.5327,        6.3800,       60.0670, 2671,NO
RGI60-08.02963,G006408E60078N,Graafjellsbrea                                  ,        8.7250,        6.4080,       60.0780, 1320,NO
RGI60-08.02969,G006362E59989N,Blomstoelskardsbreen                            ,       22.9996,        6.3620,       59.9890, 3339,NO
RGI60-08.03416,G014296E66006N,Austre Okstindbreen                             ,       14.1516,       14.2960,       66.0060, 0324,NO
RGI60-10.01708,G087780E50048N,SU5A15106125 Vodopadniy Glacier                 ,        0.7625,       87.7803,       50.0477, 0780,RU
RGI60-10.01732,G087746E50050N,SU5A15106126 Maliy Aktru Glacier                ,        2.6187,       87.7455,       50.0497, 0795,RU
RGI60-10.01735,G087697E50061N,SU5A15106127 Praviy Aktru Glacier               ,        4.4117,       87.6974,       50.0613, 0831,RU
RGI60-10.01737,G087690E50080N,SU5A15106128 Leviy Aktru Glacier                ,        5.6677,       87.6902,       50.0801, 0794,RU
RGI60-10.03264,G140865E62589N,Glacier No.31                                   ,        3.9246,      140.8654,       62.5888, 3534,RU
RGI60-10.03941,G158180E52462N,NE Mutnovskiy Glacier                           ,        0.8070,      158.1804,       52.4621, 0788,RU
RGI60-10.03944,G158157E52453N,SW Mutnovskiy Glacier                           ,        0.3702,      158.1574,       52.4528, 0787,RU
RGI60-10.04146,G160762E58040N,Grechishkina Glacier                            ,       17.0103,      160.7621,       58.0404, 0832,RU
RGI60-10.04358,G161802E54831N,Koryto Glacier                                  ,        7.9185,      161.8024,       54.8307, 0791,RU
RGI60-10.04427,G160008E54325N,Kropotkina Glacier                              ,        0.5413,      160.0079,       54.3252, 0789,RU
RGI60-10.05085,G065780E67637N,SU5A03003026 Obruchev Glacier                   ,        0.1080,       65.7801,       67.6365, 0729,RU
RGI60-10.05087,G066000E67579N,SU5A03003027 IGAN Glacier                       ,        0.5519,       66.0003,       67.5789, 0730,RU
RGI60-11.00012,G013058E47424N,Hochkoenig                                      ,        0.1968,       13.0581,       47.4242, 3993,AT
RGI60-11.00080,G012596E47132N,Stubacher Sonnblickkees                         ,        1.1885,       12.5964,       47.1316, 0573,AT
RGI60-11.00106,G012697E47099N,Pasterze                                        ,       17.7737,       12.6967,       47.0991, 0566,AT
RGI60-11.00251,G012947E47053N,Kleinfleisskees                                 ,        0.7964,       12.9472,       47.0530, 0547,AT
RGI60-11.00289,G012970E47042N,Goldbergkees                                    ,        0.6354,       12.9702,       47.0421, 1305,AT
RGI60-11.00300,G013005E47039N,Wurtenkees                                      ,        0.2094,       13.0049,       47.0385, 0545,AT
RGI60-11.00603,G011225E46966N,Vedretta Pendente                               ,        0.8407,       11.2247,       46.9656, 0675,IT
RGI60-11.00619,G011153E46957N,Vedretta Malavalle                              ,        1.3324,       11.1528,       46.9566, 0672,IT
RGI60-11.00719,G010818E46876N,Vernagtferner                                   ,        8.5587,       10.8180,       46.8762, 0489,AT
RGI60-11.00781,G010160E46858N,Jamtalferner                                    ,        3.8207,       10.1603,       46.8577, 0480,AT
RGI60-11.00787,G010791E46842N,Kesselwandferner                                ,        3.9648,       10.7907,       46.8424, 0507,AT
RGI60-11.00804,G010077E46852N,Silvretta                                       ,        2.8799,       10.0766,       46.8524, 0408,CH
RGI60-11.00892,G008989E46833N,Plattalva                                       ,        0.4232,        8.9887,       46.8330, 0420,CH
RGI60-11.00897,G010758E46800N,Hintereisferner                                 ,        8.0362,       10.7584,       46.8003, 0491,AT
RGI60-11.00918,G008977E46813N,Limmern                                         ,        2.0161,        8.9774,       46.8133, 0421,CH
RGI60-11.01238,G008397E46624N,Rhone                                           ,       15.8367,        8.3965,       46.6236, 0473,CH
RGI60-11.01704,G010771E46484N,Fontana Bianca                                  ,        0.5638,       10.7710,       46.4838, 1507,IT
RGI60-11.01834,G010709E46451N,Careser                                         ,        2.8361,       10.7085,       46.4512, 0635,IT
RGI60-11.01876,G008330E46438N,Gries                                           ,        5.2901,        8.3302,       46.4383, 0359,CH
RGI60-11.01987,G008481E46416N,Basodino                                        ,        2.0920,        8.4812,       46.4160, 0463,CH
RGI60-11.02214,G010513E46348N,Sforzellina                                     ,        0.2071,       10.5127,       46.3480, 0667,IT
RGI60-11.03135,G007390E45518N,Ciardoney                                       ,        0.3445,        7.3898,       45.5181, 1264,IT
RGI60-11.03166,G007220E45476N,Grand Etret                                     ,        0.4907,        7.2204,       45.4757, 1238,IT
RGI60-11.03209,G000639E42649N,Maladeta E                                      ,        0.2604,        0.6393,       42.6490, 0942,ES
RGI60-11.03232,G359859E42771N,Ossoue                                          ,        0.4491,       -0.1412,       42.7712, 2867,FR
RGI60-11.03241,G013567E42471N,IT4L30000001 Gh del Calderone                   ,        0.0329,       13.5667,       42.4705, 1107,IT
RGI60-11.03246,G010983E47416N,Nordlicher Schneeferner                         ,        0.3507,       10.9829,       47.4159, 0346,DE
RGI60-11.03316,G006862E44550N,FR4N01093A02 de Marinet Ouest                   ,        0.0765,        6.8620,       44.5500, 3960,FR
RGI60-11.03622,G006382E44944N,FR4N01083B21 Blanc                              ,        0.0571,        6.3820,       44.9440, 0351,FR
RGI60-11.03638,G006985E45951N,FR4N01235A08 dArgentiere                        ,       13.7955,        6.9850,       45.9510, 0354,FR
RGI60-11.03643,G006934E45883N,FR4N01236A01 Mer de Glace/Geant                 ,       24.1787,        6.9340,       45.8830, 0353,FR
RGI60-11.03648,G006811E45849N,FR4N01239A02 de Bionnassay                      ,        5.1021,        6.8110,       45.8490, 1313,FR
RGI60-11.03671,G006629E45295N,FR4N01146D09+E06 Gebroulaz                      ,        3.5695,        6.6290,       45.2950, 0352,FR
RGI60-11.03674,G006159E45160N,FR4N01162B09+154D03 de Saint Sorlin             ,        2.7407,        6.1590,       45.1600, 0356,FR
RGI60-11.03756,G006131E45116N,FR4N01163A02 de Sarennes 1                      ,        0.3032,        6.1305,       45.1164, 0357,FR
RGI60-11.03757,G006131E45122N,FR4N01163A02 de Sarennes 2                      ,        0.0124,        6.1314,       45.1216, 0357,FR
RGI60-12.00161,G042467E43312N,SU4G08005027 Garabashi Glacier                  ,        5.4095,       42.4674,       43.3121, 0761,RU
RGI60-12.00743,G042872E43216N,SU4G08005083 Yunom Glacier                      ,        3.0954,       42.8718,       43.2163, 0725,RU
RGI60-12.00807,G042473E43130N,SU5T09105226 Tbilisa Glacier                    ,        2.4308,       42.4732,       43.1296, 0724,GE
RGI60-12.00960,G041416E43364N,SU4H08002108 Marukh Glacier                     ,        3.3543,       41.4156,       43.3638, 0727,RU
RGI60-12.01132,G042761E43194N,SU4G08005062 Dzhankuat Glacier                  ,        1.7622,       42.7612,       43.1944, 0726,RU
RGI60-12.01252,G043084E43033N,SU4G08007001 Bezengi Glacier                    ,       29.9589,       43.0840,       43.0332, 0703,RU
RGI60-12.01302,G043823E42754N,SU4G08009002 Tseya Glacier                      ,       10.9744,       43.8232,       42.7537, 0704,RU
RGI60-13.05496,G080238E45096N,Muravlev Glacier                                ,        0.6628,       80.2383,       45.0958, 0796,KZ
RGI60-13.05504,G080229E45083N,Shumskiy Glacier                                ,        2.3406,       80.2285,       45.0825, 0797,KZ
RGI60-13.06359,G078305E42146N,Karabatkak Glacier                              ,        4.2008,       78.3048,       42.1461, 0813,KG
RGI60-13.07064,G078164E41793N,SU5X14105354 Akshiirak Gl                       ,        6.5368,       78.1638,       41.7932, 3889,KG
RGI60-13.08055,G078181E41827N,Sary Tor Gl                                     ,        2.9251,       78.1813,       41.8270, 0805,KG
RGI60-13.08056,G078205E41827N,Davidov Glacier                                 ,        8.9453,       78.2049,       41.8273, 0804,KG
RGI60-13.08615,G077110E43021N,Mayakovskiy Glacier                             ,        0.7883,       77.1098,       43.0213, 0808,KZ
RGI60-13.08624,G077081E43044N,Tsentralniy Tuyuksu Glacier                     ,        2.8381,       77.0806,       43.0437, 0817,KZ
RGI60-13.11609,G074498E42454N,Golubin Glacier                                 ,        4.8275,       74.4977,       42.4545, 0753,KG
RGI60-13.18096,G071570E39610N,Abramov Glacier                                 ,       21.3453,       71.5699,       39.6097, 0732,KG
RGI60-13.31358,G101752E37544N,CN5Y416G0004 Shuiguan River No4 Glacier         ,        1.4394,      101.7520,       37.5440, 0857,CN
RGI60-13.31858,G098561E39236N,CN5Y432A0005 Shiyang River No5 Glacier          ,        1.2427,       98.5610,       39.2360, 0837,CN
RGI60-13.32330,G097755E39237N,CN5Y437C0018 Qiyi Glacier                       ,        2.5310,       97.7550,       39.2370, 0856,CN
RGI60-13.33006,G096544E39436N,CN5Y448D0012 Laohugou Glacier                   ,       20.4194,       96.5440,       39.4360, 0855,CN
RGI60-13.33648,G094184E35669N,CN5Y533B0033 Meikuang Glacier                   ,        1.0530,       94.1840,       35.6690, 3955,CN
RGI60-13.45334,G086801E43117N,CN5Y730C0029 Urumqi Source Glacier No1 W Br     ,        0.5471,       86.8010,       43.1170, 1512,CN
RGI60-13.45335,G086810E43111N,CN5Y730C0029 Urumqi Source Glacier No1 E Br     ,        1.0336,       86.8100,       43.1110, 1511,CN
RGI60-14.07524,G076894E35428N,IN5Q151B0013 Siachen Glacier                    ,     1077.9579,       76.8939,       35.4284, 3666,PK
RGI60-14.12323,G078349E31292N,Shaune Garang or Naradu Glacier                 ,        3.3915,       78.3494,       31.2923, 3641,IN
RGI60-14.15556,G077314E32305N,Hamtah Glacier                                  ,        0.0491,       77.3141,       32.3054, 3044,IN
RGI60-14.15990,G077508E32224N,Chhota Shigri Glacier                           ,       16.7641,       77.5075,       32.2242, 2921,IN
RGI60-15.02942,G088684E27960N,Changme Khangpu Glacier                         ,        4.8472,       88.6844,       27.9599, 1045,IN
RGI60-15.04847,G083490E28827N,Rikha Samba Glacier                             ,        6.5038,       83.4900,       28.8270, 1516,NP
RGI60-15.06557,G079675E30718N,Tipra Bank Glacier                              ,        5.3201,       79.6750,       30.7180, 1049,IN
RGI60-15.06777,G079894E30558N,Dunagiri Glacier                                ,        2.3996,       79.8941,       30.5578, 1047,IN
RGI60-15.07605,G078825E30843N,Dokriani Glacier                                ,        6.5177,       78.8251,       30.8430, 3454,IN
RGI60-16.01638,G037314E00157S,Lewis                                           ,        0.2076,       37.3140,       -0.1568, 0695,KE
RGI60-16.02086,G282729E09653S,Yanamarey                                       ,        0.2824,      -77.2709,       -9.6529, 0226,PE
RGI60-17.02128,G291591E54786S,Martial Este                                    ,        0.7029,      -68.4093,      -54.7862, 2000,AR
RGI60-17.13715,G289866E33580S,Echaurren Norte                                 ,        0.3410,      -70.1338,      -33.5804, 1344,CL
RGI60-18.01130,G169437E44072S,Brewster Glacier                                ,        2.6730,      169.4370,      -44.0715, 1597,NZ
RGI60-18.02342,G170238E43565S,Tasman Glacier                                  ,       95.2164,      170.2380,      -43.5653, 1074,NZ
RGI60-18.02910,G171526E42890S,Rolleston Glacier                               ,        0.1494,      171.5260,      -42.8900, 1538,NZ
RGI60-18.03357,G170926E43133S,Ivory Glacier                                   ,        0.2067,      170.9260,      -43.1326, 0900,NZ
RGI60-19.02057,G299605E62683S,Hurd Glacier                                    ,        1.2649,      -60.3948,      -62.6827, 3367,AQ
RGI60-19.02059,G299645E62671S,Johnsons Glacier                                ,        5.4926,      -60.3547,      -62.6707, 3366,AQ
